backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
DistilBERT,distilbert-base-uncased,cell_001_O1_seed113_no_replay_b0,O1,sst2/mrpc/rte/ag_news,113,no_replay,0,PASS,9.662274360656738,False
DistilBERT,distilbert-base-uncased,cell_002_O1_seed113_random_replay_b16,O1,sst2/mrpc/rte/ag_news,113,random_replay,16,PASS,8.390831232070923,False
DistilBERT,distilbert-base-uncased,cell_003_O1_seed113_random_replay_b64,O1,sst2/mrpc/rte/ag_news,113,random_replay,64,PASS,9.102015972137451,False
DistilBERT,distilbert-base-uncased,cell_004_O1_seed113_random_replay_b256,O1,sst2/mrpc/rte/ag_news,113,random_replay,256,PASS,13.263391494750977,False
DistilBERT,distilbert-base-uncased,cell_005_O1_seed113_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,16,PASS,7.96663761138916,False
DistilBERT,distilbert-base-uncased,cell_006_O1_seed113_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,64,PASS,8.437570571899414,False
DistilBERT,distilbert-base-uncased,cell_007_O1_seed113_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,113,class_balanced_replay,256,PASS,13.108794212341309,False
DistilBERT,distilbert-base-uncased,cell_008_O1_seed113_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,16,PASS,9.458919525146484,False
DistilBERT,distilbert-base-uncased,cell_009_O1_seed113_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,64,PASS,9.91556191444397,False
DistilBERT,distilbert-base-uncased,cell_010_O1_seed113_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,113,hard_example_replay,256,PASS,14.744460105895996,False
DistilBERT,distilbert-base-uncased,cell_011_O1_seed227_no_replay_b0,O1,sst2/mrpc/rte/ag_news,227,no_replay,0,PASS,7.787081480026245,False
DistilBERT,distilbert-base-uncased,cell_012_O1_seed227_random_replay_b16,O1,sst2/mrpc/rte/ag_news,227,random_replay,16,PASS,8.04114317893982,False
DistilBERT,distilbert-base-uncased,cell_013_O1_seed227_random_replay_b64,O1,sst2/mrpc/rte/ag_news,227,random_replay,64,PASS,8.513626337051392,False
DistilBERT,distilbert-base-uncased,cell_014_O1_seed227_random_replay_b256,O1,sst2/mrpc/rte/ag_news,227,random_replay,256,PASS,12.995766639709473,False
DistilBERT,distilbert-base-uncased,cell_015_O1_seed227_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,16,PASS,7.927096128463745,False
DistilBERT,distilbert-base-uncased,cell_016_O1_seed227_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,64,PASS,8.433579444885254,False
DistilBERT,distilbert-base-uncased,cell_017_O1_seed227_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,227,class_balanced_replay,256,PASS,10.10658073425293,False
DistilBERT,distilbert-base-uncased,cell_018_O1_seed227_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,16,PASS,12.422628164291382,False
DistilBERT,distilbert-base-uncased,cell_019_O1_seed227_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,64,PASS,10.057827949523926,False
DistilBERT,distilbert-base-uncased,cell_020_O1_seed227_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,227,hard_example_replay,256,PASS,11.827329635620117,False
DistilBERT,distilbert-base-uncased,cell_021_O1_seed349_no_replay_b0,O1,sst2/mrpc/rte/ag_news,349,no_replay,0,PASS,10.885098457336426,False
DistilBERT,distilbert-base-uncased,cell_022_O1_seed349_random_replay_b16,O1,sst2/mrpc/rte/ag_news,349,random_replay,16,PASS,7.95599365234375,False
DistilBERT,distilbert-base-uncased,cell_023_O1_seed349_random_replay_b64,O1,sst2/mrpc/rte/ag_news,349,random_replay,64,PASS,8.527350664138794,False
DistilBERT,distilbert-base-uncased,cell_024_O1_seed349_random_replay_b256,O1,sst2/mrpc/rte/ag_news,349,random_replay,256,PASS,10.1397385597229,False
DistilBERT,distilbert-base-uncased,cell_025_O1_seed349_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,16,PASS,10.87111520767212,False
DistilBERT,distilbert-base-uncased,cell_026_O1_seed349_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,64,PASS,8.395015954971313,False
DistilBERT,distilbert-base-uncased,cell_027_O1_seed349_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,349,class_balanced_replay,256,PASS,10.096815347671509,False
DistilBERT,distilbert-base-uncased,cell_028_O1_seed349_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,16,PASS,12.426233530044556,False
DistilBERT,distilbert-base-uncased,cell_029_O1_seed349_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,64,PASS,9.919877529144287,False
DistilBERT,distilbert-base-uncased,cell_030_O1_seed349_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,349,hard_example_replay,256,PASS,11.689496040344238,False
DistilBERT,distilbert-base-uncased,cell_031_O1_seed461_no_replay_b0,O1,sst2/mrpc/rte/ag_news,461,no_replay,0,PASS,10.985535144805908,False
DistilBERT,distilbert-base-uncased,cell_032_O1_seed461_random_replay_b16,O1,sst2/mrpc/rte/ag_news,461,random_replay,16,PASS,8.299540281295776,False
DistilBERT,distilbert-base-uncased,cell_033_O1_seed461_random_replay_b64,O1,sst2/mrpc/rte/ag_news,461,random_replay,64,PASS,9.005576848983765,False
DistilBERT,distilbert-base-uncased,cell_034_O1_seed461_random_replay_b256,O1,sst2/mrpc/rte/ag_news,461,random_replay,256,PASS,10.197858572006226,False
DistilBERT,distilbert-base-uncased,cell_035_O1_seed461_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,16,PASS,11.082335710525513,False
DistilBERT,distilbert-base-uncased,cell_036_O1_seed461_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,64,PASS,8.496326208114624,False
DistilBERT,distilbert-base-uncased,cell_037_O1_seed461_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,256,PASS,10.249650001525879,False
DistilBERT,distilbert-base-uncased,cell_038_O1_seed461_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,16,PASS,9.511848211288452,False
DistilBERT,distilbert-base-uncased,cell_039_O1_seed461_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,64,PASS,12.911429643630981,False
DistilBERT,distilbert-base-uncased,cell_040_O1_seed461_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,256,PASS,11.790073156356812,False
DistilBERT,distilbert-base-uncased,cell_041_O1_seed587_no_replay_b0,O1,sst2/mrpc/rte/ag_news,587,no_replay,0,PASS,7.817251920700073,False
DistilBERT,distilbert-base-uncased,cell_042_O1_seed587_random_replay_b16,O1,sst2/mrpc/rte/ag_news,587,random_replay,16,PASS,11.053856134414673,False
DistilBERT,distilbert-base-uncased,cell_043_O1_seed587_random_replay_b64,O1,sst2/mrpc/rte/ag_news,587,random_replay,64,PASS,8.423578023910522,False
DistilBERT,distilbert-base-uncased,cell_044_O1_seed587_random_replay_b256,O1,sst2/mrpc/rte/ag_news,587,random_replay,256,PASS,10.143397331237793,False
DistilBERT,distilbert-base-uncased,cell_045_O1_seed587_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,16,PASS,7.991781234741211,False
DistilBERT,distilbert-base-uncased,cell_046_O1_seed587_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,64,PASS,11.336509943008423,False
DistilBERT,distilbert-base-uncased,cell_047_O1_seed587_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,256,PASS,10.083201885223389,False
DistilBERT,distilbert-base-uncased,cell_048_O1_seed587_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,16,PASS,9.495748519897461,False
DistilBERT,distilbert-base-uncased,cell_049_O1_seed587_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,64,PASS,13.055928707122803,False
DistilBERT,distilbert-base-uncased,cell_050_O1_seed587_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,256,PASS,11.852092504501343,False
DistilBERT,distilbert-base-uncased,cell_051_O2_seed113_no_replay_b0,O2,ag_news/rte/mrpc/sst2,113,no_replay,0,PASS,7.791890621185303,False
DistilBERT,distilbert-base-uncased,cell_052_O2_seed113_random_replay_b16,O2,ag_news/rte/mrpc/sst2,113,random_replay,16,PASS,7.931705951690674,False
DistilBERT,distilbert-base-uncased,cell_053_O2_seed113_random_replay_b64,O2,ag_news/rte/mrpc/sst2,113,random_replay,64,PASS,11.366612195968628,False
DistilBERT,distilbert-base-uncased,cell_054_O2_seed113_random_replay_b256,O2,ag_news/rte/mrpc/sst2,113,random_replay,256,PASS,10.096458911895752,False
DistilBERT,distilbert-base-uncased,cell_055_O2_seed113_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,16,PASS,7.897450923919678,False
DistilBERT,distilbert-base-uncased,cell_056_O2_seed113_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,64,PASS,11.317717552185059,False
DistilBERT,distilbert-base-uncased,cell_057_O2_seed113_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,256,PASS,10.076969385147095,False
DistilBERT,distilbert-base-uncased,cell_058_O2_seed113_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,16,PASS,9.43692421913147,False
DistilBERT,distilbert-base-uncased,cell_059_O2_seed113_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,64,PASS,9.929921627044678,False
DistilBERT,distilbert-base-uncased,cell_060_O2_seed113_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,256,PASS,14.890708923339844,False
DistilBERT,distilbert-base-uncased,cell_061_O2_seed227_no_replay_b0,O2,ag_news/rte/mrpc/sst2,227,no_replay,0,PASS,7.982889175415039,False
DistilBERT,distilbert-base-uncased,cell_062_O2_seed227_random_replay_b16,O2,ag_news/rte/mrpc/sst2,227,random_replay,16,PASS,8.08854866027832,False
DistilBERT,distilbert-base-uncased,cell_063_O2_seed227_random_replay_b64,O2,ag_news/rte/mrpc/sst2,227,random_replay,64,PASS,11.664407968521118,False
DistilBERT,distilbert-base-uncased,cell_064_O2_seed227_random_replay_b256,O2,ag_news/rte/mrpc/sst2,227,random_replay,256,PASS,10.126586437225342,False
DistilBERT,distilbert-base-uncased,cell_065_O2_seed227_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,227,class_balanced_replay,16,PASS,7.94906210899353,False
DistilBERT,distilbert-base-uncased,cell_066_O2_seed227_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,227,class_balanced_replay,64,PASS,8.495605945587158,False
DistilBERT,distilbert-base-uncased,cell_067_O2_seed227_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,227,class_balanced_replay,256,PASS,13.251982688903809,False
DistilBERT,distilbert-base-uncased,cell_068_O2_seed227_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,227,hard_example_replay,16,PASS,9.434854984283447,False
DistilBERT,distilbert-base-uncased,cell_069_O2_seed227_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,227,hard_example_replay,64,PASS,9.88687252998352,False
DistilBERT,distilbert-base-uncased,cell_070_O2_seed227_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,227,hard_example_replay,256,PASS,14.301545143127441,False
DistilBERT,distilbert-base-uncased,cell_071_O2_seed349_no_replay_b0,O2,ag_news/rte/mrpc/sst2,349,no_replay,0,PASS,7.669005870819092,False
DistilBERT,distilbert-base-uncased,cell_072_O2_seed349_random_replay_b16,O2,ag_news/rte/mrpc/sst2,349,random_replay,16,PASS,7.921078681945801,False
DistilBERT,distilbert-base-uncased,cell_073_O2_seed349_random_replay_b64,O2,ag_news/rte/mrpc/sst2,349,random_replay,64,PASS,8.371098041534424,False
DistilBERT,distilbert-base-uncased,cell_074_O2_seed349_random_replay_b256,O2,ag_news/rte/mrpc/sst2,349,random_replay,256,PASS,13.112599611282349,False
DistilBERT,distilbert-base-uncased,cell_075_O2_seed349_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,349,class_balanced_replay,16,PASS,7.904938459396362,False
DistilBERT,distilbert-base-uncased,cell_076_O2_seed349_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,349,class_balanced_replay,64,PASS,8.354082107543945,False
DistilBERT,distilbert-base-uncased,cell_077_O2_seed349_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,349,class_balanced_replay,256,PASS,13.034869909286499,False
DistilBERT,distilbert-base-uncased,cell_078_O2_seed349_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,349,hard_example_replay,16,PASS,9.52418828010559,False
DistilBERT,distilbert-base-uncased,cell_079_O2_seed349_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,349,hard_example_replay,64,PASS,10.063414573669434,False
DistilBERT,distilbert-base-uncased,cell_080_O2_seed349_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,349,hard_example_replay,256,PASS,14.78791856765747,False
DistilBERT,distilbert-base-uncased,cell_081_O2_seed461_no_replay_b0,O2,ag_news/rte/mrpc/sst2,461,no_replay,0,PASS,7.812629699707031,False
DistilBERT,distilbert-base-uncased,cell_082_O2_seed461_random_replay_b16,O2,ag_news/rte/mrpc/sst2,461,random_replay,16,PASS,8.06619381904602,False
DistilBERT,distilbert-base-uncased,cell_083_O2_seed461_random_replay_b64,O2,ag_news/rte/mrpc/sst2,461,random_replay,64,PASS,8.413392543792725,False
DistilBERT,distilbert-base-uncased,cell_084_O2_seed461_random_replay_b256,O2,ag_news/rte/mrpc/sst2,461,random_replay,256,PASS,13.007320880889893,False
DistilBERT,distilbert-base-uncased,cell_085_O2_seed461_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,461,class_balanced_replay,16,PASS,7.92142915725708,False
DistilBERT,distilbert-base-uncased,cell_086_O2_seed461_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,461,class_balanced_replay,64,PASS,8.421444654464722,False
DistilBERT,distilbert-base-uncased,cell_087_O2_seed461_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,461,class_balanced_replay,256,PASS,10.1141197681427,False
DistilBERT,distilbert-base-uncased,cell_088_O2_seed461_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,461,hard_example_replay,16,PASS,12.421579599380493,False
DistilBERT,distilbert-base-uncased,cell_089_O2_seed461_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,461,hard_example_replay,64,PASS,9.988974332809448,False
DistilBERT,distilbert-base-uncased,cell_090_O2_seed461_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,461,hard_example_replay,256,PASS,11.890657901763916,False
DistilBERT,distilbert-base-uncased,cell_091_O2_seed587_no_replay_b0,O2,ag_news/rte/mrpc/sst2,587,no_replay,0,PASS,10.777233123779297,False
DistilBERT,distilbert-base-uncased,cell_092_O2_seed587_random_replay_b16,O2,ag_news/rte/mrpc/sst2,587,random_replay,16,PASS,7.9740684032440186,False
DistilBERT,distilbert-base-uncased,cell_093_O2_seed587_random_replay_b64,O2,ag_news/rte/mrpc/sst2,587,random_replay,64,PASS,8.688869953155518,False
DistilBERT,distilbert-base-uncased,cell_094_O2_seed587_random_replay_b256,O2,ag_news/rte/mrpc/sst2,587,random_replay,256,PASS,10.120147228240967,False
DistilBERT,distilbert-base-uncased,cell_095_O2_seed587_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,587,class_balanced_replay,16,PASS,10.886578559875488,False
DistilBERT,distilbert-base-uncased,cell_096_O2_seed587_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,587,class_balanced_replay,64,PASS,8.407968282699585,False
DistilBERT,distilbert-base-uncased,cell_097_O2_seed587_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,587,class_balanced_replay,256,PASS,10.116906642913818,False
